fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_0322,"Bain Capital Asia Fund II, L.P.","Bain Capital Asia Fund II, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2011,,USD,404957548.326148,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Asia Fund II, L.P. / Cost",,ACTIVE,
FUND_0323,"Bain Capital Asia Fund III, L.P.","Bain Capital Asia Fund III, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2009,,USD,401126765.629683,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Asia Fund III, L.P. / Cost",,ACTIVE,
FUND_0324,"Bain Capital Distressed and Special Situations 2013 (E), L.P.","Bain Capital Distressed and Special Situations 2013 (E), L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2023,,USD,287101811.556542,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Distressed and Special Situations 2013 (E), L.P. / Fair Value",,ACTIVE,
FUND_0325,"Bain Capital Empire Holdings, L.P.","Bain Capital Empire Holdings, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2012,,USD,432546069.273356,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Empire Holdings, L.P. / Cost",,ACTIVE,
FUND_0326,"Bain Capital Europe Fund III, L.P.","Bain Capital Europe Fund III, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2005,,USD,446923029.821163,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Europe Fund III, L.P. / Cost",,ACTIVE,
FUND_0327,"Bain Capital Europe Fund V, SCSp","Bain Capital Europe Fund V, SCSp",,Bain Capital,Secondary Investments,Multi-Strategy,2005,,USD,238025640.988188,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Europe Fund V, SCSp / Cost",,ACTIVE,
FUND_0328,"Bain Capital Fund VII, L.P.","Bain Capital Fund VII, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2016,,USD,227936007.922596,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Fund VII, L.P. / Cost",,ACTIVE,
FUND_0329,"Bain Capital Fund X, L.P.","Bain Capital Fund X, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2015,,USD,160594738.574003,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Fund X, L.P. / Cost",,ACTIVE,
FUND_0330,"Bain Capital Fund XI, L.P.","Bain Capital Fund XI, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2018,,USD,278890106.758747,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Fund XI, L.P. / Cost",,ACTIVE,
FUND_0331,"Bain Capital Fund XII, L.P.","Bain Capital Fund XII, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2024,,USD,192700726.081674,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital Fund XII, L.P. / Cost",,ACTIVE,
FUND_0332,"Bain Capital VII Coinvestment Fund, L.P.","Bain Capital VII Coinvestment Fund, L.P.",,Bain Capital,Secondary Investments,Multi-Strategy,2010,,USD,197839960.255707,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bain Capital VII Coinvestment Fund, L.P. / Cost",,ACTIVE,
FUND_0333,Barley (No.1) Limited Partnership,Barley (No.1) Limited Partnership,,,Secondary Investments,Multi-Strategy,2000,,USD,350059837.909020,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / Barley (No.1) Limited Partnership / Cost,,ACTIVE,
FUND_0334,"BC Asia III Private Investors, L.P.","BC Asia III Private Investors, L.P.",,BC Partners,Secondary Investments,Multi-Strategy,2019,,USD,231876005.056323,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BC Asia III Private Investors, L.P. / Fair Value",,ACTIVE,
FUND_0335,"BC Europe IV Private Investors, L.P.","BC Europe IV Private Investors, L.P.",,BC Partners,Secondary Investments,Multi-Strategy,2002,,USD,191905210.794867,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BC Europe IV Private Investors, L.P. / Cost",,ACTIVE,
FUND_0336,BC European Capital IX-8 LP,BC European Capital IX-8 LP,,BC Partners,Secondary Investments,Multi-Strategy,2024,,USD,301958914.722615,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BC European Capital IX-8 LP / Cost,,ACTIVE,
FUND_0337,BC European Capital X-10 LP,BC European Capital X-10 LP,,BC Partners,Secondary Investments,Multi-Strategy,2000,,USD,466927742.716351,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BC European Capital X-10 LP / Cost,,ACTIVE,
FUND_0338,BC European Capital X-2 LP,BC European Capital X-2 LP,,BC Partners,Secondary Investments,Multi-Strategy,2022,,USD,521477388.453385,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BC European Capital X-2 LP / Cost,,ACTIVE,
FUND_0339,BC European Capital X-7 LP,BC European Capital X-7 LP,,BC Partners,Secondary Investments,Multi-Strategy,2014,,USD,211169555.873023,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BC European Capital X-7 LP / Cost,,ACTIVE,
FUND_0340,"BC Life Sciences Private Investors, L.P.","BC Life Sciences Private Investors, L.P.",,BC Partners,Secondary Investments,Multi-Strategy,2002,,USD,304387522.753372,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BC Life Sciences Private Investors, L.P. / Cost",,ACTIVE,
FUND_0341,BC Partners XI GD - 2 LP,BC Partners XI GD - 2 LP,,BC Partners,Secondary Investments,Multi-Strategy,2008,,USD,211655598.299660,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BC Partners XI GD - 2 LP / Cost,,ACTIVE,
FUND_0342,"BC XI Private Investor, L.P.","BC XI Private Investor, L.P.",,BC Partners,Secondary Investments,Multi-Strategy,2014,,USD,166958989.193436,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BC XI Private Investor, L.P. / Cost",,ACTIVE,
FUND_0343,"BC XII Private Investors, L.P.","BC XII Private Investors, L.P.",,BC Partners,Secondary Investments,Multi-Strategy,2005,,USD,283672869.832252,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BC XII Private Investors, L.P. / Cost",,ACTIVE,
FUND_0344,BCP V-S L.P.,BCP V-S L.P.,,Blackstone Management Associates V L.L.C.,Secondary Investments,Multi-Strategy,2004,,USD,410981175.673660,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / BCP V-S L.P. / Cost,,ACTIVE,
FUND_0345,"Beacon Capital Strategic Partners VI, LP","Beacon Capital Strategic Partners VI, LP",,Beacon Capital Partners,Diversified Alternatives,Multi-Strategy,2010,,USD,523927197.753014,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,1,"Real Estate Portfolio / Beacon Capital Strategic Partners VI, LP / Capital Commitment",,ACTIVE,
FUND_0346,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,,Bear Stearns Asset Management,Private Credit,Direct Lending,2018,,USD,594024891.816852,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC107,7,FEES / Incentive fee / UNLABELED_COLUMN_1,,ACTIVE,
FUND_0347,"Berkshire Fund VI, Limited Partnership","Berkshire Fund VI, Limited Partnership",,Berkshire Partners LLC,Secondary Investments,Multi-Strategy,2017,,USD,376008324.657998,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Berkshire Fund VI, Limited Partnership / Cost",,ACTIVE,
FUND_0348,"Berkshire Fund VII, L.P.","Berkshire Fund VII, L.P.",,Berkshire Partners LLC,Secondary Investments,Multi-Strategy,2023,,USD,231696797.089071,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Berkshire Fund VII, L.P. / Cost",,ACTIVE,
FUND_0349,"Berkshire Fund VIII (IND), L.P.","Berkshire Fund VIII (IND), L.P.",,Berkshire Partners LLC,Secondary Investments,Multi-Strategy,2009,,USD,150612239.866065,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Berkshire Fund VIII (IND), L.P. / Cost",,ACTIVE,
FUND_0350,BIF IV Co-Investment,BIF IV Co-Investment,,Brookfield Asset Management Inc.,Diversified Alternatives,Multi-Strategy,2021,,USD,270582949.912472,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / BIF IV Co-Investment / Capital Commitment,,ACTIVE,
FUND_0351,Blackstone Capital Partners V L.P.,Blackstone Capital Partners V L.P.,,Blackstone,Secondary Investments,Multi-Strategy,2007,,USD,422493262.716470,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / Blackstone Capital Partners V L.P. / Cost,,ACTIVE,
FUND_0352,"Blackstone Capital Partners VII, L.P.","Blackstone Capital Partners VII, L.P.",,Blackstone,Secondary Investments,Multi-Strategy,2020,,USD,503828671.774392,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Blackstone Capital Partners VII, L.P. / Cost",,ACTIVE,
FUND_0353,"Blackstone Capital Partners VIII (Lux), SCSp","Blackstone Capital Partners VIII (Lux), SCSp",,Blackstone,Secondary Investments,Multi-Strategy,2021,,USD,414524971.612807,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Blackstone Capital Partners VIII (Lux), SCSp / Cost",,ACTIVE,
FUND_0354,Blackstone Energy Partners III,Blackstone Energy Partners III,,Blackstone,Natural Resources,Natural Resources,2020,,USD,293072518.831728,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Blackstone Energy Partners III / Capital Commitment,,ACTIVE,
FUND_0355,Blackstone Energy Partners IV,Blackstone Energy Partners IV,,Blackstone,Natural Resources,Natural Resources,2022,,USD,516737934.993496,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Blackstone Energy Partners IV / Capital Commitment,,ACTIVE,
FUND_0356,Blackstone Mileway Logistics L.P.,Blackstone Mileway Logistics L.P.,,Blackstone,Diversified Alternatives,Multi-Strategy,2004,,USD,430447725.363566,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,Real Assets Ending Market Value & Performance Summary (By Partnership) / Blackstone Mileway Logistics L.P. / 1-Yr Total Return,,ACTIVE,
FUND_0357,"Blackstone Property Partners Europe, L.P.","Blackstone Property Partners Europe, L.P.",,Blackstone,Real Estate,Diversified Real Estate,2022,,USD,327822993.112856,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,"Real Assets Ending Market Value & Performance Summary (By Partnership) / Blackstone Property Partners Europe, L.P. / 1-Yr Total Return",,ACTIVE,
FUND_0358,Blackstone Property Partners Life Sciences L.P.,Blackstone Property Partners Life Sciences L.P.,,Blackstone,Real Estate,Diversified Real Estate,2021,,USD,446573248.810612,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,Real Assets Ending Market Value & Performance Summary (By Partnership) / Blackstone Property Partners Life Sciences L.P. / 1-Yr Total Return,,ACTIVE,
FUND_0359,Blackstone RE Partners X LP,Blackstone RE Partners X LP,,Blackstone,Diversified Alternatives,Multi-Strategy,2022,,USD,520276717.094616,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,2,Real Estate Portfolio / Blackstone RE Partners X LP / Capital Commitment,,ACTIVE,
FUND_0360,Blackstone Real Estate Partners IX,Blackstone Real Estate Partners IX,,Blackstone,Real Estate,Diversified Real Estate,2019,,USD,209870920.789853,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,2,Real Estate Portfolio / Blackstone Real Estate Partners IX / Capital Commitment,,ACTIVE,
FUND_0361,Blue Owl GP Stakes Nimbus Cayman (B) LP,Blue Owl GP Stakes Nimbus Cayman (B) LP,,Blue Owl Capital,Direct Investments/Co-Investments,Multi-Strategy,2020,,USD,477794274.183916,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,1,Consolidated Schedule of Investments / Blue Owl GP Stakes Nimbus Cayman (B) LP / Cost,,ACTIVE,
FUND_0362,Blue Owl GP Stakes Nimbus U.S. (A) LLC,Blue Owl GP Stakes Nimbus U.S. (A) LLC,,Blue Owl Capital,Direct Investments/Co-Investments,Multi-Strategy,2006,,USD,249481542.021899,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,1,Consolidated Schedule of Investments / Blue Owl GP Stakes Nimbus U.S. (A) LLC / Cost,,ACTIVE,
FUND_0363,Blue Owl GP Stakes US Investors LP,Blue Owl GP Stakes US Investors LP,,Blue Owl Capital,Secondary Investments,Multi-Strategy,2008,,USD,284727337.298438,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / Blue Owl GP Stakes US Investors LP / Cost,,ACTIVE,
FUND_0364,Blue Owl GP Stakes V Offshore Investors LP,Blue Owl GP Stakes V Offshore Investors LP,,Blue Owl Capital,Primary Investments,Multi-Strategy,2013,,USD,396000195.022379,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,1,Consolidated Schedule of Investments / Blue Owl GP Stakes V Offshore Investors LP / Cost,,ACTIVE,
FUND_0365,Blue Owl Real Estate Capital Fund V,Blue Owl Real Estate Capital Fund V,,Blue Owl Capital,Real Estate,Diversified Real Estate,2020,,USD,471584858.102182,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,2,Real Estate Portfolio / Blue Owl Real Estate Capital Fund V / Capital Commitment,,ACTIVE,
FUND_0366,Blue Owl Real Estate Capital Fund VI,Blue Owl Real Estate Capital Fund VI,,Blue Owl Capital,Real Estate,Diversified Real Estate,2023,,USD,335723525.911375,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,2,Real Estate Portfolio / Blue Owl Real Estate Capital Fund VI / Capital Commitment,,ACTIVE,
FUND_0367,"Blue Road Capital, L.P.","Blue Road Capital, L.P.",,"Blue Road Management, L.P.",Agriculture,Multi-Strategy,2015,,USD,464426250.123467,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC457,10,"Investment Detail / Blue Road Capital, L.P. / 1 Year",,ACTIVE,
FUND_0368,Bolt Energy LLC,Bolt Energy LLC,,,Natural Resources,Natural Resources,2019,,USD,444323290.781497,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Bolt Energy LLC / Capital Commitment,,ACTIVE,
FUND_0369,"Bowmark Capital Partners V, L.P.","Bowmark Capital Partners V, L.P.",,Bowmark Capital,Secondary Investments,Multi-Strategy,2021,,USD,357918890.146608,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Bowmark Capital Partners V, L.P. / Cost",,ACTIVE,
FUND_0370,"BP ACE EV, L.P.","BP ACE EV, L.P.",,Berkshire Partners LLC,Secondary Investments,Multi-Strategy,2019,,USD,514051377.739824,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BP ACE EV, L.P. / Cost",,ACTIVE,
FUND_0371,"BP Natural Gas Opportunity Partners II, L.P.","BP Natural Gas Opportunity Partners II, L.P.",,BP Energy Partners,Energy,Multi-Strategy,2001,,USD,488530682.485842,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC457,10,"Investment Detail / BP Natural Gas Opportunity Partners II, L.P. / 3 Year",,ACTIVE,
FUND_0372,"BP Natural Gas Opportunity Partners, L.P.","BP Natural Gas Opportunity Partners, L.P.",,BP Energy Partners,Energy,Multi-Strategy,2009,,USD,592885364.416719,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC457,10,"Investment Detail / BP Natural Gas Opportunity Partners, L.P. / 1 Year",,ACTIVE,
FUND_0373,"BPEA EQT Mid-Market Growth Partnership, SCSp","BPEA EQT Mid-Market Growth Partnership, SCSp",,EQT Private Capital Asia,Primary Investments,Growth Equity,2021,,USD,258268414.987962,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,1,"Consolidated Schedule of Investments / BPEA EQT Mid-Market Growth Partnership, SCSp / Cost",,ACTIVE,
FUND_0374,"BPEA Private Equity Fund VI, L.P.","BPEA Private Equity Fund VI, L.P.",,EQT Private Capital Asia,Secondary Investments,Multi-Strategy,2011,,USD,450569899.891846,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / BPEA Private Equity Fund VI, L.P. / Cost",,ACTIVE,
FUND_0375,Brazil Real Estate Opportunities II,Brazil Real Estate Opportunities II,,GTIS Partners,Real Estate,Diversified Real Estate,2011,,USD,293436366.696560,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,1,Real Estate Portfolio / Brazil Real Estate Opportunities II / Capital Commitment,,ACTIVE,
FUND_0376,"Brentwood Associates Private Equity V, L.P.","Brentwood Associates Private Equity V, L.P.",,Brentwood Associates,Secondary Investments,Multi-Strategy,2009,,USD,565983969.120224,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,"Consolidated Schedule of Investments / Brentwood Associates Private Equity V, L.P. / Cost",,ACTIVE,
FUND_0377,Bridgepoint Europe IV 'A' L.P.,Bridgepoint Europe IV 'A' L.P.,,Bridgepoint Advisers II Limited,Secondary Investments,Multi-Strategy,2023,,USD,460835582.520983,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,2,Consolidated Schedule of Investments / Bridgepoint Europe IV 'A' L.P. / Cost,,ACTIVE,
FUND_0378,Bridgepoint Europe IV 'E' L.P.,Bridgepoint Europe IV 'E' L.P.,,Bridgepoint Advisers II Limited,Secondary Investments,Multi-Strategy,2019,,USD,210340810.433520,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,Consolidated Schedule of Investments / Bridgepoint Europe IV 'E' L.P. / Cost,,ACTIVE,
FUND_0379,Bridgepoint Europe Portfolio IV LP,Bridgepoint Europe Portfolio IV LP,,Bridgepoint Advisers II Limited,Secondary Investments,Multi-Strategy,2008,,USD,518728019.795029,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,Consolidated Schedule of Investments / Bridgepoint Europe Portfolio IV LP / Cost,,ACTIVE,
FUND_0380,Brookfield Agriculture Fund II,Brookfield Agriculture Fund II,,Brookfield Asset Management,Natural Resources,Natural Resources,2015,,USD,159220977.773698,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Agriculture Fund II / Capital Commitment,,ACTIVE,
FUND_0381,Brookfield Infrastructure Fund III,Brookfield Infrastructure Fund III,,Brookfield Asset Management,Infrastructure,Infrastructure,2016,,USD,157468402.480031,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Infrastructure Fund III / Capital Commitment,,ACTIVE,
FUND_0382,Brookfield Infrastructure Fund IV,Brookfield Infrastructure Fund IV,,Brookfield Asset Management,Infrastructure,Infrastructure,2019,,USD,497415827.740062,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Infrastructure Fund IV / Capital Commitment,,ACTIVE,
FUND_0383,Brookfield Infrastructure Fund V,Brookfield Infrastructure Fund V,,Brookfield Asset Management,Infrastructure,Infrastructure,2022,,USD,276824132.337391,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Infrastructure Fund V / Capital Commitment,,ACTIVE,
FUND_0384,Brookfield Super Core Infrastructure Partners Project Aether,Brookfield Super Core Infrastructure Partners Project Aether,,Brookfield Asset Management,Infrastructure,Infrastructure,2020,,USD,154491486.586764,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Super Core Infrastructure Partners Project Aether / Capital Commitment,,ACTIVE,
FUND_0385,Brookfield Super-Core Infrastructure Partners,Brookfield Super-Core Infrastructure Partners,,Brookfield Asset Management,Infrastructure,Infrastructure,2021,,USD,575362488.636873,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Super-Core Infrastructure Partners / Capital Commitment,,ACTIVE,
FUND_0386,Brookfield Super-Core Infrastructure Partners Project Kepler,Brookfield Super-Core Infrastructure Partners Project Kepler,,Brookfield Asset Management,Infrastructure,Infrastructure,2020,,USD,309925220.724420,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Super-Core Infrastructure Partners Project Kepler / Capital Commitment,,ACTIVE,
FUND_0387,Brookfield Super-Core Infrastructure Partners Project Volta,Brookfield Super-Core Infrastructure Partners Project Volta,,Brookfield Asset Management,Infrastructure,Infrastructure,2020,,USD,194232269.453605,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Super-Core Infrastructure Partners Project Volta / Capital Commitment,,ACTIVE,
FUND_0388,Brookfield Timberlands Fund V,Brookfield Timberlands Fund V,,Brookfield Asset Management,Natural Resources,Natural Resources,2012,,USD,352103555.675984,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC060,1,Alternatives Portfolio / Brookfield Timberlands Fund V / Capital Commitment,,ACTIVE,
FUND_0389,"BSV Opportunities B, FCRE","BSV Opportunities B, FCRE",,"Big Sur Ventures, SGEIC, S.A.",Direct Investments/Co-Investments,Multi-Strategy,2013,,USD,592959476.121257,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,1,"Consolidated Schedule of Investments / BSV Opportunities B, FCRE / Cost",,ACTIVE,
FUND_0390,Buchanan Fund V,Buchanan Fund V,,Buchanan Street Partners,Diversified Alternatives,Multi-Strategy,2007,,USD,247467425.121728,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,1,Real Estate Portfolio / Buchanan Fund V / Capital Commitment,,ACTIVE,
FUND_0391,CalEast Canada Limited Partnership,CalEast Canada Limited Partnership,,"LaSalle Investment Management, Inc.",Diversified Alternatives,Multi-Strategy,2001,,USD,305505329.672936,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,Real Assets Ending Market Value & Performance Summary (By Partnership) / CalEast Canada Limited Partnership / Ending Market Value (MM),,ACTIVE,
FUND_0392,"CalEast Industrial Investors, LLC","CalEast Industrial Investors, LLC",,"LaSalle Investment Management, Inc.",Diversified Alternatives,Multi-Strategy,2013,,USD,475402621.578718,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,"Real Assets Ending Market Value & Performance Summary (By Partnership) / CalEast Industrial Investors, LLC / 1-Yr Total Return",,ACTIVE,
FUND_0393,"CalEast Solstice, LLC","CalEast Solstice, LLC",,"LaSalle Investment Management, Inc.",Diversified Alternatives,Multi-Strategy,2022,,USD,410195100.052394,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,"Real Assets Ending Market Value & Performance Summary (By Partnership) / CalEast Solstice, LLC / 1-Yr Total Return",,ACTIVE,
FUND_0394,CalWest CalPERS GIP,CalWest CalPERS GIP,,RREEF,Diversified Alternatives,Multi-Strategy,2004,,USD,567203537.372339,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,Real Assets Ending Market Value & Performance Summary (By Partnership) / CalWest CalPERS GIP / 1-Yr Total Return,,ACTIVE,
FUND_0395,"Camden Partners Strategic Fund VI, L.P.","Camden Partners Strategic Fund VI, L.P.",,"Camden Partners Holdings, LLC",Secondary Investments,Multi-Strategy,2009,,USD,489093768.520989,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,"Consolidated Schedule of Investments / Camden Partners Strategic Fund VI, L.P. / Cost",,ACTIVE,
FUND_0396,Cameron Village,Cameron Village,,,Diversified Alternatives,Multi-Strategy,2004,,USD,302187283.579929,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,3,Separate Accounts / Cameron Village / Fair Market Value,,ACTIVE,
FUND_0397,"Canyon Catalyst Fund II, LLC","Canyon Catalyst Fund II, LLC",,Canyon Partners Real Estate LLC,Diversified Alternatives,Multi-Strategy,2000,,USD,444226061.538012,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC063,1,"Real Assets Ending Market Value & Performance Summary (By Partnership) / Canyon Catalyst Fund II, LLC / 1-Yr Total Return",,ACTIVE,
FUND_0398,Canyon Johnson Urban Fund III,Canyon Johnson Urban Fund III,,Canyon Partners Real Estate LLC,Diversified Alternatives,Multi-Strategy,2010,,USD,298975009.596464,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC058,1,Real Estate Portfolio / Canyon Johnson Urban Fund III / Capital Commitment,,ACTIVE,
FUND_0399,Capiton VI GmbH & Co. Beteiligungs KG,Capiton VI GmbH & Co. Beteiligungs KG,,Capiton AG,Secondary Investments,Multi-Strategy,2009,,USD,454599424.409112,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,Consolidated Schedule of Investments / Capiton VI GmbH & Co. Beteiligungs KG / Cost,,ACTIVE,
FUND_0400,Capvis Equity IV L.P.,Capvis Equity IV L.P.,,Capvis AG,Secondary Investments,Multi-Strategy,2002,,USD,261556661.997179,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,Consolidated Schedule of Investments / Capvis Equity IV L.P. / Cost,,ACTIVE,
FUND_0401,Capvis Equity V L.P.,Capvis Equity V L.P.,,Capvis AG,Secondary Investments,Multi-Strategy,2023,,USD,475390126.307626,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,Consolidated Schedule of Investments / Capvis Equity V L.P. / Cost,,ACTIVE,
FUND_0402,"Carlyle Credit Opportunities Fund (Parallel), L.P.","Carlyle Credit Opportunities Fund (Parallel), L.P.",,The Carlyle Group,Secondary Investments,Direct Lending,2016,,USD,405485238.553772,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC407,3,"Consolidated Schedule of Investments / Carlyle Credit Opportunities Fund (Parallel), L.P. / Cost",,ACTIVE,
