standardized_fund_name,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
"CI Capital Investors III, L.P.",,,,,CI Capital Partners LLC,"WEB_MANAGER: https://www.monumentgroup.com/press-release/ci-capital-partners-closes-fund-iii-capital-commitments-750-million | CI Capital Partners LLC announced the closing of its third fund, CI Capital Investors III, L.P.  [AUTO: one-sided]"
"CIM Fund III, L.P.",,,,,CIM Group,"FAMILY CIM: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2022/cim%20infrastructure%20fund%20iii%20-%20public%20im.pdf | CIM Group is the manager of the CIM Infrastructure Fund series, a Los Angeles based real estate, infrastructure and natural resources investment firm.  [AUTO: identical]"
"CIM Infrastructure Fund, L.P.",,,,,CIM Group,"FAMILY CIM: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2022/cim%20infrastructure%20fund%20iii%20-%20public%20im.pdf | CIM Group is the manager of the CIM Infrastructure Fund series, a Los Angeles based real estate, infrastructure and natural resources investment firm.  [AUTO: identical]"
Clarion (Non Mandate),,,,,Clarion Partners,FAMILY Clarion: WEB_MANAGER: https://pitchbook.com/profiles/fund/15134-59F | Clarion Columbia Office Properties is a real estate core fund managed by Clarion Partners.  [AUTO: identical]
Clarion Columbia Office Properties,,,,,Clarion Partners,FAMILY Clarion: WEB_MANAGER: https://pitchbook.com/profiles/fund/15134-59F | Clarion Columbia Office Properties is a real estate core fund managed by Clarion Partners.  [AUTO: identical]
Clarion Holding,,,,,Clarion Partners,FAMILY Clarion: WEB_MANAGER: https://pitchbook.com/profiles/fund/15134-59F | Clarion Columbia Office Properties is a real estate core fund managed by Clarion Partners.  [AUTO: identical]
"Clayton, Dubilier & Rice Fund IX, L.P.",,,,,"Clayton, Dubilier & Rice","FAMILY Clayton, Dubilier & Rice: WEB_MANAGER: https://pitchbook.com/profiles/fund/15713-20F | Clayton, Dubilier & Rice Fund X is a buyout fund managed by Clayton, Dubilier & Rice and completed fundraising in 2017 with $10 billion of investor commitments.  [AUTO: identical]"
"Clayton, Dubilier & Rice Fund X, L.P.",,,,,"Clayton, Dubilier & Rice","FAMILY Clayton, Dubilier & Rice: WEB_MANAGER: https://pitchbook.com/profiles/fund/15713-20F | Clayton, Dubilier & Rice Fund X is a buyout fund managed by Clayton, Dubilier & Rice and completed fundraising in 2017 with $10 billion of investor commitments.  [AUTO: identical]"
Clean Tech Fund,Connecticut Innovations,"WEB_MANAGER: https://ctinnovations.com/program/climate-tech-fund/ | The ClimateTech Fund is managed by Connecticut Innovations, CI's $100 million fund to help Connecticut reach decarbonization goals.",,,Connecticut Innovations,"WEB_MANAGER: https://ctinnovations.com/program/climate-tech-fund/ | The ClimateTech Fund is managed by Connecticut Innovations, CI's $100 million fund to help Connecticut reach decarbonization goals."
"Clearlake Capital Partners III, L.P.",,,,,"Clearlake Capital Group, L.P.","FAMILY Clearlake: WEB_MANAGER: https://clearlake.com/news/clearlake-capital-closes-seventh-flagship-private-equity-fund-with-more-than-141-billion-in-commitments/ | Clearlake Capital Group, L.P. completed fundraising for Clearlake Capital Partners VII with more than $14.1 billion in commitments.  [AUTO: Clearlake Capital Group = Clearlake Capital Group, L.P.]"
"Clearlake Capital Partners IV, L.P.",,,,,"Clearlake Capital Group, L.P.","FAMILY Clearlake: WEB_MANAGER: https://clearlake.com/news/clearlake-capital-closes-seventh-flagship-private-equity-fund-with-more-than-141-billion-in-commitments/ | Clearlake Capital Group, L.P. completed fundraising for Clearlake Capital Partners VII with more than $14.1 billion in commitments.  [AUTO: Clearlake Capital Group = Clearlake Capital Group, L.P.]"
"Clearlake Capital Partners VI, L.P.",,,,,"Clearlake Capital Group, L.P.","FAMILY Clearlake: WEB_MANAGER: https://clearlake.com/news/clearlake-capital-closes-seventh-flagship-private-equity-fund-with-more-than-141-billion-in-commitments/ | Clearlake Capital Group, L.P. completed fundraising for Clearlake Capital Partners VII with more than $14.1 billion in commitments.  [AUTO: Clearlake Capital Group = Clearlake Capital Group, L.P.]"
"Clearlake Capital Partners VII (USTE), L.P.",,,,,"Clearlake Capital Group, L.P.","FAMILY Clearlake: WEB_MANAGER: https://clearlake.com/news/clearlake-capital-closes-seventh-flagship-private-equity-fund-with-more-than-141-billion-in-commitments/ | Clearlake Capital Group, L.P. completed fundraising for Clearlake Capital Partners VII with more than $14.1 billion in commitments.  [AUTO: Clearlake Capital Group = Clearlake Capital Group, L.P.]"
"Clearlake Opportunities Partners (P-Offshore), L.P.",,,,,"Clearlake Capital Group, L.P.","FAMILY Clearlake: WEB_MANAGER: https://clearlake.com/news/clearlake-capital-closes-seventh-flagship-private-equity-fund-with-more-than-141-billion-in-commitments/ | Clearlake Capital Group, L.P. completed fundraising for Clearlake Capital Partners VII with more than $14.1 billion in commitments.  [AUTO: Clearlake Capital Group = Clearlake Capital Group, L.P.]"
Cliffwood,,,,,Cliffwood Partners LLC,WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-71949/DW-PARTNERS--LP (Cliffwood Partners LLC SEC filings) | SEC filings state Cliffwood Partners LLC serves as investment manager and general partner of the Cliffwood-branded investment funds.  [AUTO: one-sided]
Clift,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Cohen & Steers,,,,,"Cohen & Steers Capital Management, Inc.","WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/106266 | SEC IAPD lists Cohen & Steers Capital Management, Inc. as the registered investment adviser managing Cohen & Steers funds for institutional clients.  [AUTO: one-sided]"
"Coller International Partners VI, L.P.",,,,,Coller Capital,"WEB_MANAGER: https://www.collercapital.com/coller-capital-closes-sixth-fund-ahead-target-commitments-55-billion/ | Coller Capital's own release announced the close of its sixth fund, Coller International Partners VI, at $5.5 billion.  [AUTO: identical]"
Commonwealth Fund III,MassVentures,WEB_MANAGER: https://www.mass.gov/doc/opmo-fy2020-massventures-report/download | MassVentures deployed capital from its Commonwealth Fund III program as one of its own managed investment programs.,MassVentures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13672-99F | PitchBook: Commonwealth Fund III is an early stage venture capital fund managed by MassVentures.,MassVentures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13672-99F | PitchBook: Commonwealth Fund III is an early stage venture capital fund managed by MassVentures.
"Comvest Capital III International (Cayman), L.P.",,,,,Comvest Partners,"WEB_MANAGER: https://pitchbook.com/profiles/fund/14502-25F | Comvest Capital III is a direct lending fund managed by Comvest Partners (SEC-registered as Comvest Advisors LLC, CRD 160753).  [AUTO: identical]"
"Concession Investment Holdings, LLC",,,,,IFM Investors Pty Ltd,"WEB_MANAGER: https://aum13f.com/fund/concession-investment-holdings-llc | AUM 13F lists IFM Investors Pty Ltd as the firm behind Concession Investment Holdings, LLC, the CalPERS co-investment vehicle for its stake in the IFM-owned Indiana Toll Road Concession Company.  [AUTO: one-sided]"
Connecticut Bioscience Innovation Fund,Connecticut Innovations,"WEB_MANAGER: https://www.advancect.org/site-selection-and-certified-sites/incentives-and-programs/p/item/2135/bioscience-innovation-fund | Connecticut Innovations manages the Connecticut Bioscience Innovation Fund, a $200 million evergreen fund focused on bioscience investment.",Connecticut Innovations,WEB_MANAGER: https://ctinnovations.com/obtain-funding/venture-solutions/connecticut-bioscience-innovation-fund | Connecticut Innovations makes equity investments from the Connecticut Bioscience Innovation Fund.,Connecticut Innovations,"WEB_MANAGER: https://www.advancect.org/site-selection-and-certified-sites/incentives-and-programs/p/item/2135/bioscience-innovation-fund | Connecticut Innovations manages the Connecticut Bioscience Innovation Fund, a $200 million evergreen fund focused on bioscience investment."
Connecticut Capital Access Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Connecticut Works Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Connecticut Works Guarantee Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Conservation Forestry Capital Fund II, L.P.",,,,,"Conservation Resource Partners, LLC","FAMILY Conservation Forestry Capital: WEB_MANAGER: https://privatefunddata.com/fund-companies/conservation-resource-partners-llc/ | Conservation Resource Partners, LLC is an SEC-registered investment adviser that manages private funds including Conservation Forestry Capital IV, LP, with Conservation Forestry II, LLC as general partner.  [AUTO: Conservation Resource Partners, LLC = Conservation Resource Partners]"
"Conservation Forestry Capital Fund IV, L.P.",,,,,"Conservation Resource Partners, LLC","FAMILY Conservation Forestry Capital: WEB_MANAGER: https://privatefunddata.com/fund-companies/conservation-resource-partners-llc/ | Conservation Resource Partners, LLC is an SEC-registered investment adviser that manages private funds including Conservation Forestry Capital IV, LP, with Conservation Forestry II, LLC as general partner.  [AUTO: Conservation Resource Partners, LLC = Conservation Resource Partners]"
Core Property Index Trust,,,,,"IDR Investment Management, LLC","WEB_MANAGER: https://radientanalytics.com/firm/adv/idr-investment-management-llc-286208 | IDR serves as the investment adviser to private pooled investment vehicles, including the Core Property Index Trust and Core Property Index Fund, LLC.  [AUTO: one-sided]"
"Cornerstone Patriot Fund, L.P.",Cornerstone Real Estate Advisers LLC,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/cornerstone.pdf | Cornerstone Patriot Fund GP, LLC is the general partner of the Fund, 100% owned by Cornerstone Real Estate Advisers LLC.",,Cornerstone Real Estate Advisers LLC,Cornerstone Real Estate Advisers LLC,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/cornerstone.pdf | Cornerstone Patriot Fund GP, LLC is the general partner of the Fund, 100% owned by Cornerstone Real Estate Advisers LLC."
"Corsair IV Financial Services Capital Partners, L.P.",,,,,Corsair Capital,FAMILY Corsair: WEB_MANAGER: https://pitchbook.com/profiles/fund/15412-33F | Corsair IV Financial Services Capital Partners is a 2010 vintage buyout fund managed by Corsair Capital.  [AUTO: identical]
"Corsair V Financial Services Capital Partners, L.P.",,,,,Corsair Capital,FAMILY Corsair: WEB_MANAGER: https://pitchbook.com/profiles/fund/15412-33F | Corsair IV Financial Services Capital Partners is a 2010 vintage buyout fund managed by Corsair Capital.  [AUTO: identical]
"Court Square Capital Partners (Offshore) III, L.P.",,,,,"Court Square Capital Management, L.P.","WEB_MANAGER: https://www.courtsquare.com/ | Court Square's own site and its SEC-registered adviser record identify Court Square Capital Management, L.P. as manager of the Court Square Capital Partners fund family, including Offshore III.  [AUTO: Court Square Capital Management, L.P. = Court Square Capital Management LP]"
"CP VII Investors, L.P.",,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Crestview Partners II, L.P.",,,,,Crestview Partners,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1303183/000095010308000362/dp08626_ex9901.htm | SEC filing is signed by Crestview Partners GP, LP as general partner of Crestview Partners II, L.P.  [AUTO: identical]"
"Crow Holdings Realty Fund VII, LP",,,,,Crow Holdings Capital,FAMILY Crow Holdings: WEB_MANAGER: https://irei.com/news/crow-holdings-realty-partners-ix-raises-752m/ | Crow Holdings Realty Partners IX is a value-added fund managed by Crow Holdings Capital.  [AUTO: identical]
"Crow Holdings Realty Partners IX, L.P.",,,,,Crow Holdings Capital,FAMILY Crow Holdings: WEB_MANAGER: https://irei.com/news/crow-holdings-realty-partners-ix-raises-752m/ | Crow Holdings Realty Partners IX is a value-added fund managed by Crow Holdings Capital.  [AUTO: identical]
"Crow Holdings Realty Partners VI, L.P.",,,,,Crow Holdings Capital,FAMILY Crow Holdings: WEB_MANAGER: https://irei.com/news/crow-holdings-realty-partners-ix-raises-752m/ | Crow Holdings Realty Partners IX is a value-added fund managed by Crow Holdings Capital.  [AUTO: identical]
"Crow Holdings Realty Partners VII, L.P.",,,,,Crow Holdings Capital,FAMILY Crow Holdings: WEB_MANAGER: https://irei.com/news/crow-holdings-realty-partners-ix-raises-752m/ | Crow Holdings Realty Partners IX is a value-added fund managed by Crow Holdings Capital.  [AUTO: identical]
"Crow Retail Fund II, L.P.",,,,,Crow Holdings Capital,WEB_MANAGER: https://www.prnewswire.com/news-releases/crow-holdings-capital-closes-retail-fund-ii-at-417-million-300357747.html | Crow Holdings Capital's own release announced it closed Retail Fund II at $417 million.  [AUTO: identical]
"CS Strategic Partners IV RE, L.P.","Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III.",,,"Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III."
"CSFB Strategic Partners II RE, L.P.","Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III.",,,"Credit Suisse First Boston Private Equity, Inc.","FAMILY CSFB Strategic Partners: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III."
"CSFB Strategic Partners III RE, L.P.","Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III.",,,"Credit Suisse First Boston Private Equity, Inc.","FAMILY CSFB Strategic Partners: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III."
Cube Infrastructure Fund III,,,,,Cube Infrastructure Managers,WEB_MANAGER: https://www.cubeinfrastructure.com/news/cube-infrastructure-managers-closes-cube-infrastructure-fund-iii-at-e1-35-billion/ | Cube Infrastructure Managers' own release announced the final close of Cube Infrastructure Fund III at EUR 1.35 billion.  [AUTO: identical]
Cube Salem Co-Investment,,,,,Cube Infrastructure Managers,"WEB_MANAGER: https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2024/FOIA-Q3-2023-OPERF-Real-Assets.pdf | Oregon PERF's real assets holdings list Cube Salem Co-Investment directly alongside Cube Infrastructure Fund III, the flagship vehicle of manager Cube Infrastructure Managers.  [AUTO: one-sided]"
CVC Capital Partners VI (A) L.P.,,,,,CVC Capital Partners,FAMILY CVC: WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
CVC Capital Partners VI (B) L.P.,,,,,CVC Capital Partners,FAMILY CVC: WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
CVC Capital Partners VII (A) L.P.,,,,,CVC Capital Partners,FAMILY CVC: WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
CVC European Equity Partners V (A) L.P.,,,,,CVC Capital Partners,FAMILY CVC: WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
CVC European Equity Partners V (C) L.P.,,,,,CVC Capital Partners,FAMILY CVC: WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
Cybersecurity Investment Fund,,WEB_MANAGER: no public manager match found,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/news-events/press-releases/2015/tedco-invests-3-maryland-cybersecurity-startups | TEDCO announced that three Maryland companies received funding from its Cybersecurity Investment Fund.,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/news-events/press-releases/2015/tedco-invests-3-maryland-cybersecurity-startups | TEDCO announced that three Maryland companies received funding from its Cybersecurity Investment Fund.
"DB SAF C Strategic Partners, LP",,,,,DigitalBridge,WEB_MANAGER: https://irei.com/news/calpers-committed-1-25b-to-2-infrastructure-funds-in-first-quarter/ | Reporting on CalPERS commitments states DB SAF (DigitalBridge Strategic Assets Fund) is managed by DigitalBridge.  [AUTO: one-sided]
"DCM V, L.P.",,,,,DCM Ventures,"FAMILY DCM: WEB_MANAGER: https://en.wikipedia.org/wiki/DCM_Ventures | DCM Ventures, formerly Doll Capital Management, is an American venture capital firm headquartered in Menlo Park, California.  [AUTO: identical]"
"DCM VI, L.P.",,,,,DCM Ventures,"FAMILY DCM: WEB_MANAGER: https://en.wikipedia.org/wiki/DCM_Ventures | DCM Ventures, formerly Doll Capital Management, is an American venture capital firm headquartered in Menlo Park, California.  [AUTO: identical]"
"DCP C Strategic Partners, LP",,,,,DigitalBridge,"WEB_MANAGER: https://www.calpers.ca.gov/documents/perf-portfolio-partnership-report-as-of-june-30-2025/download | CalPERS portfolio reporting lists DCP C Strategic Partners, LP among its DigitalBridge-managed partnerships alongside DigitalBridge Partners II and III.  [AUTO: one-sided]"
"DFJ Frontier Fund II, L.P.",DFJ Frontier,"WEB_MANAGER: https://www.businesswire.com/news/home/20080530005589/en/Draper-Fisher-Jurvetson-DFJ-Frontier-Zone-Ventures | DFJ Frontier is an affiliate of Draper Fisher Jurvetson, a venture capital fund investing in early stage technology companies on the West Coast.",,,DFJ Frontier,"WEB_MANAGER: https://www.businesswire.com/news/home/20080530005589/en/Draper-Fisher-Jurvetson-DFJ-Frontier-Zone-Ventures | DFJ Frontier is an affiliate of Draper Fisher Jurvetson, a venture capital fund investing in early stage technology companies on the West Coast."
Digital Colony Partners,,,,,"Digital Colony Management, LLC","WEB_MANAGER: https://www.prnewswire.com/news-releases/digital-colony-announces-closing-of-inaugural-fund-at-4-05-billion-300862427.html | Digital Colony's own release states Digital Colony Management, LLC announced the final closing of its inaugural fund, Digital Colony Partners, LP, at $4.05 billion.  [AUTO: identical]"
"DigitalBridge Partners II, LP",,,,,DigitalBridge Investment Management,"FAMILY DigitalBridge: WEB_MANAGER: https://www.digitalbridge.com/news/2022-01-19-digitalbridge-surpasses-target-to-close-second-flagship-fund-at-83-billion | DigitalBridge Investment Management, the firms investment management platform, has closed its second flagship fund, DigitalBridge Partners II, LP.  [AUTO: identical]"
"DigitalBridge Strategic Assets Fund, LP",,,,,DigitalBridge Investment Management,"FAMILY DigitalBridge: WEB_MANAGER: https://www.digitalbridge.com/news/2022-01-19-digitalbridge-surpasses-target-to-close-second-flagship-fund-at-83-billion | DigitalBridge Investment Management, the firms investment management platform, has closed its second flagship fund, DigitalBridge Partners II, LP.  [AUTO: identical]"
"DivcoWest Fund IV REIT, L.P.",,,,,DivcoWest,FAMILY DivcoWest: WEB_MANAGER: https://pitchbook.com/profiles/fund/16842-43F | DivcoWest Fund VI is a real estate value added fund managed by DivcoWest.  [AUTO: identical]
DivcoWest Fund V,,,,,DivcoWest,FAMILY DivcoWest: WEB_MANAGER: https://pitchbook.com/profiles/fund/16842-43F | DivcoWest Fund VI is a real estate value added fund managed by DivcoWest.  [AUTO: identical]
DivcoWest Real Estate Fund VI,,,,,DivcoWest,FAMILY DivcoWest: WEB_MANAGER: https://pitchbook.com/profiles/fund/16842-43F | DivcoWest Fund VI is a real estate value added fund managed by DivcoWest.  [AUTO: identical]
"DLJ Real Estate Capital Partners III, L.P.",DLJ Real Estate Capital Partners,"WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse.",,,DLJ Real Estate Capital Partners,"FAMILY DLJ Real Estate: WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse."
"DLJ Real Estate Capital Partners IV, L.P.",DLJ Real Estate Capital Partners,"WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse.",,,DLJ Real Estate Capital Partners,"FAMILY DLJ Real Estate: WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse."
"DLJ Real Estate Partners II, L.P.",DLJ Real Estate Capital Partners,"WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse.",,,DLJ Real Estate Capital Partners,"FAMILY DLJ Real Estate: WEB_MANAGER: https://www.bloomberg.com/news/articles/2010-08-09/credit-suisse-said-to-plan-spinoff-of-dlj-property-funds-unit-to-managers | DLJ Real Estate Capital Partners was established in 1995 as the real estate private equity platform of Donaldson, Lufkin & Jenrette, later acquired by Credit Suisse."
"DRA Growth and Income Fund VI, L.P.",DRA Advisors LLC,"WEB_MANAGER: https://www.cbinsights.com/investor/dra-advisors | DRA Advisors LLC is a privately owned, SEC-registered real estate investment adviser managing the DRA Growth and Income Fund series.",,,DRA Advisors LLC,"FAMILY DRA Growth and Income Fund: WEB_MANAGER: https://www.cbinsights.com/investor/dra-advisors | DRA Advisors LLC is a privately owned, SEC-registered real estate investment adviser managing the DRA Growth and Income Fund series."
"DRA Growth and Income Fund VII, L.P.",DRA Advisors LLC,"WEB_MANAGER: https://www.cbinsights.com/investor/dra-advisors | DRA Advisors LLC is a privately owned, SEC-registered real estate investment adviser managing the DRA Growth and Income Fund series.",,,DRA Advisors LLC,"FAMILY DRA Growth and Income Fund: WEB_MANAGER: https://www.cbinsights.com/investor/dra-advisors | DRA Advisors LLC is a privately owned, SEC-registered real estate investment adviser managing the DRA Growth and Income Fund series."
"Draper Triangle Ohio Ventures, L.P.",Draper Triangle Ventures,"WEB_MANAGER: https://drapertriangle.com/about/ | Draper Triangle Ventures is a venture capital firm based in Pittsburgh, with additional offices in Ohio and Michigan, founded in 1997.",Draper Triangle,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Draper Triangle Ohio Ventures.,Draper Triangle Ventures,"FAMILY Draper Triangle: WEB_MANAGER: https://drapertriangle.com/about/ | Draper Triangle Ventures is a venture capital firm based in Pittsburgh, with additional offices in Ohio and Michigan, founded in 1997."
"Draper Triangle Ventures Ohio III, L.P.",Draper Triangle Ventures,"WEB_MANAGER: https://drapertriangle.com/about/ | Draper Triangle Ventures is a venture capital firm based in Pittsburgh, with additional offices in Ohio and Michigan, founded in 1997.",Draper Triangle Ventures,"WEB_MANAGER: https://www.prnewswire.com/news-releases/draper-triangle-ventures-launches-fund-iii-193803401.html | Draper Triangle Ventures announced the first closing of its newest fund, Draper Triangle III.",Draper Triangle Ventures,"FAMILY Draper Triangle: WEB_MANAGER: https://drapertriangle.com/about/ | Draper Triangle Ventures is a venture capital firm based in Pittsburgh, with additional offices in Ohio and Michigan, founded in 1997."
"DW Life Sciences Partners, LLC",,,,,Divco West Real Estate Services LLC,WEB_MANAGER: https://aum13f.com/fund/dw-life-sciences-partners-llc | AUM 13F lists Divco West Real Estate Services LLC as the firm for DW Life Sciences Partners LLC.  [AUTO: one-sided]
DW-Columbia Perfco LP,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Early Stage Partners Fund II, L.P.",Early Stage Partners,"WEB_MANAGER: https://www.esplp.com/ | Early Stage Partners is a venture capital investment firm based in Cleveland, Ohio, which serves as the general partner for ESP Fund II, launched in 2008.",Early Stage Partners,"WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Early Stage Partners, Fund II.",Early Stage Partners,"WEB_MANAGER: https://www.esplp.com/ | Early Stage Partners is a venture capital investment firm based in Cleveland, Ohio, which serves as the general partner for ESP Fund II, launched in 2008."
"Eastern Timberland Opportunities II, L.P.",,,,,Timberland Investment Resources,FAMILY Eastern Timberland Opportunities: WEB_MANAGER: https://pitchbook.com/profiles/fund/14535-64F | Eastern Timberland Opportunities II is a 2014 vintage timber fund managed by Timberland Investment Resources.  [AUTO: identical]
"Eastern Timberland Opportunities III, L.P.",,,,,Timberland Investment Resources,FAMILY Eastern Timberland Opportunities: WEB_MANAGER: https://pitchbook.com/profiles/fund/14535-64F | Eastern Timberland Opportunities II is a 2014 vintage timber fund managed by Timberland Investment Resources.  [AUTO: identical]
"Ecosystem Investment Partners II, L.P.",,,,,Ecosystem Investment Partners,"FAMILY Ecosystem Investment Partners: WEB_MANAGER: https://ecosystempartners.com/ecosystem-investment-partners-closes-454-5-million-eip-iv/ | Ecosystem Investment Partners announced the final close of Ecosystem Investment Partners IV, L.P. at its hard cap of $454.5 million.  [AUTO: identical]"
"Ecosystem Investment Partners III, L.P.",,,,,Ecosystem Investment Partners,"FAMILY Ecosystem Investment Partners: WEB_MANAGER: https://ecosystempartners.com/ecosystem-investment-partners-closes-454-5-million-eip-iv/ | Ecosystem Investment Partners announced the final close of Ecosystem Investment Partners IV, L.P. at its hard cap of $454.5 million.  [AUTO: identical]"
"Ecosystem Investment Partners IV, L.P.",,,,,Ecosystem Investment Partners,"FAMILY Ecosystem Investment Partners: WEB_MANAGER: https://ecosystempartners.com/ecosystem-investment-partners-closes-454-5-million-eip-iv/ | Ecosystem Investment Partners announced the final close of Ecosystem Investment Partners IV, L.P. at its hard cap of $454.5 million.  [AUTO: identical]"
"Ecotrust Forests II, LLC",EFM Investments & Advisory,"WEB_MANAGER: https://missioninvestors.org/resources/investment-ecotrust-forest-fund-ii | Ecotrust Forests II is a timber fund managed by EFM Investments & Advisory (Ecotrust Forest Management), not Ecotrust itself.",,,EFM Investments & Advisory,"WEB_MANAGER: https://missioninvestors.org/resources/investment-ecotrust-forest-fund-ii | Ecotrust Forests II is a timber fund managed by EFM Investments & Advisory (Ecotrust Forest Management), not Ecotrust itself."
"Edgewood Partners, L.P.",,,,,Hamilton Lane,"WEB_MANAGER: https://www.erb.nm.gov/wp-content/uploads/2024/06/2023-Q4-Real-Estate-and-Natural-Resources-Report.pdf | New Mexico ERB's real estate report lists Hamilton Lane as general partner of the Edgewood Partners fund series, consistent with SEC filings signed by HL Edgewood GP LLC."
