lookup_key,lookup_kind,member_count,member_funds,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
Littlejohn,family,2,"Littlejohn Fund IV, L.P. | Littlejohn Fund V, L.P.","Littlejohn & Co., LLC","WEB_MANAGER: https://www.prnewswire.com/news-releases/littlejohn--co-completes-fund-v-with-2-billion-of-committed-capital-267150821.html | Littlejohn Fund V, L.P. was completed by Littlejohn & Co., LLC with $2 billion of committed capital.","Littlejohn & Co., LLC","WEB_MANAGER: https://littlejohnllc.com/ | Littlejohn & Co. is a private equity firm; Littlejohn Associates IV, L.L.C. acts as general partner of Littlejohn Fund IV.","Littlejohn & Co., LLC","WEB_MANAGER: https://www.prnewswire.com/news-releases/littlejohn--co-completes-fund-v-with-2-billion-of-committed-capital-267150821.html | Littlejohn Fund V, L.P. was completed by Littlejohn & Co., LLC with $2 billion of committed capital.  [AUTO: identical]"
Lone Star,family,17,"Lone Star Fund I | Lone Star Fund II | Lone Star Fund III | Lone Star Fund IV | Lone Star Fund IX | Lone Star Fund V | Lone Star Fund VI | Lone Star Fund VII (U.S.), L.P. | Lone Star Fund VIII (U.S.), L.P. | Lone Star Fund X (U.S.), L.P. | Lone Star Fund XI (U.S.), L.P. | Lone Star Real Estate Fund | Lone Star Real Estate Fund II (U.S.), L.P. | Lone Star Real Estate Fund III | Lone Star Real Estate Fund IV | Lone Star Real Estate Fund V (U.S.), L.P. | Lone Star Real Estate Fund VI, L.P.","Lone Star Global Acquisitions, Ltd.","WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series.",Lone Star Funds,"WEB_MANAGER: https://www.lonestarfunds.com/about-us/ | Lone Star Funds is the private equity firm that sponsors the Lone Star Fund and Lone Star Real Estate Fund series, controlled by general partner entities such as Lone Star Partners V, L.P.","Lone Star Global Acquisitions, Ltd.","WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lubert-Adler,family,6,"Lubert-Adler Real Estate Fund II | Lubert-Adler Real Estate Fund III | Lubert-Adler Real Estate Fund IV | Lubert-Adler Real Estate Fund V | Lubert-Adler Real Estate Fund VI | Lubert-Adler Real Estate Fund VII, L.P.",,,,,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
MGPA,family,2,"MGPA Asia Fund III, L.P. | MGPA Europe Fund III, L.P.",,,,,MGPA,"WEB_MANAGER: https://www.privateequitywire.co.uk/mgpa-closes-fund-iii-commitments-usd52bn/ | MGPA Fund III consists of MGPA Asia Fund III and MGPA Europe Fund III, both managed by MGPA."
Madison Dearborn,family,2,"Madison Dearborn Capital Partners VII | Madison Dearborn Capital Partners VIII-A, L.P.","Madison Dearborn Partners, LLC","WEB_MANAGER: https://www.mdcp.com/about | Madison Dearborn Partners, LLC is a Chicago-based private equity investment firm that raised Madison Dearborn Capital Partners VIII with $5.0 billion in aggregate capital commitments.","Madison Dearborn Partners, LLC","WEB_MANAGER: https://www.mdcp.com/ | Madison Dearborn Partners, LLC serves as general partner of the Madison Dearborn Capital Partners fund series.","Madison Dearborn Partners, LLC","WEB_MANAGER: https://www.mdcp.com/about | Madison Dearborn Partners, LLC is a Chicago-based private equity investment firm that raised Madison Dearborn Capital Partners VIII with $5.0 billion in aggregate capital commitments.  [AUTO: identical]"
Morgan Stanley,family,9,"Morgan Stanley Global REIT | Morgan Stanley Prime Property Fund | Morgan Stanley Real Estate Fund II | Morgan Stanley Real Estate Fund IV Spec Dom | Morgan Stanley Real Estate Fund IV Spec Intl | Morgan Stanley Real Estate Fund V Spec Intl | Morgan Stanley Real Estate Fund V U.S. | Morgan Stanley Real Estate Fund VI Spec Intl | Morgan Stanley Real Estate Fund VII Global, L.P.",,,,,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
NCT Ventures,family,2,"NCT Ventures Fund I, L.P. | NCT Ventures Fund II, L.P.",,,,,NCT Ventures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13076-83F | PitchBook: NCT Ventures Fund I is a venture capital fund managed by NCT Ventures.
NGP,family,8,NGP Agribusiness Follow-on Program | NGP Natural Resources X | NGP Natural Resources XI | NGP Natural Resources XII | NGP Royalty Partners | NGP Royalty Partners Co-Investment Side Car | NGP Royalty Partners Fund II | NGP Royalty Partners II Co-Investment Side Car,"NGP Energy Capital Management, LLC","WEB_MANAGER: https://www.carlyle.com/media-room/news-release-archive/ngp-energy-capital-management-closes-5325-billion-private-equity | NGP Energy Capital Management closed NGP Natural Resources XI, L.P. at $5.325 billion, its hard cap.","NGP Energy Capital Management, L.L.C.","WEB_MANAGER: https://www.carlyle.com/media-room/news-release-archive/ngp-energy-capital-management-closes-5325-billion-private-equity | NGP Energy Capital Management LLC closed NGP Natural Resources XI LP with $5.325 billion of commitments, continuing its Natural Gas Partners investment platform.","NGP Energy Capital Management, L.L.C.","WEB_MANAGER: https://www.carlyle.com/media-room/news-release-archive/ngp-energy-capital-management-closes-5325-billion-private-equity | NGP Energy Capital Management LLC closed NGP Natural Resources XI LP with $5.325 billion of commitments, continuing its Natural Gas Partners investment platform.  [AUTO: NGP Energy Capital Management, LLC = NGP Energy Capital Management, L.L.C.]"
New Enterprise Associates,family,2,"New Enterprise Associates 12, Limited Partnership | New Enterprise Associates 13",,,,,New Enterprise Associates,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1452907/000107261321000190/nea-sch13g_18464.htm | NEA Partners 13, L.P. is the sole general partner of New Enterprise Associates 13, L.P.; both are New Enterprise Associates entities."
New Mountain,family,4,"New Mountain Partners III, L.P. | New Mountain Partners IV, L.P. | New Mountain Partners V, L.P. | New Mountain SRC Rollover Fund, L.P.",,,,,"New Mountain Capital, LLC","WEB_MANAGER: https://www.newmountaincapital.com/new-mountain-closes-4-13-billion-private-equity-fund/ | New Mountain Capital announced the final closing of New Mountain Partners IV, L.P. at $4.13 billion."
Northern Shipping,family,2,Northern Shipping Fund III | Northern Shipping Fund IV,Northern Shipping Fund Management LLC,WEB_MANAGER: https://www.prnewswire.com/news-releases/northern-shipping-fund-management-llc-announces-final-closing-of-northern-shipping-fund-iv-lp-301235821.html | Northern Shipping Fund Management LLC announced the final closing of Northern Shipping Fund IV LP.,Northern Shipping Fund Management LLC,WEB_MANAGER: https://www.prnewswire.com/news-releases/northern-shipping-fund-management-llc-announces-final-closing-of-northern-shipping-fund-iv-lp-301235821.html | Northern Shipping Fund Management LLC announced the final closing of Northern Shipping Fund IV LP.,Northern Shipping Fund Management LLC,WEB_MANAGER: https://www.prnewswire.com/news-releases/northern-shipping-fund-management-llc-announces-final-closing-of-northern-shipping-fund-iv-lp-301235821.html | Northern Shipping Fund Management LLC announced the final closing of Northern Shipping Fund IV LP.  [AUTO: identical]
Norwest Mezzanine Partners,family,3,"Norwest Mezzanine Partners III, LP | Norwest Mezzanine Partners IV | Norwest Mezzanine Partners V-A, LP","Norwest Capital Advisors, LLC","WEB_MANAGER: https://www.kirkland.com/news/press-release/2023/10/kirkland-advises-norwest-equity-partners-on-separation-from-wells-fargo | Norwest Equity Partners and Norwest Mezzanine Partners now operate as one independent SEC-registered investment adviser, Norwest Capital Advisors, following separation from Wells Fargo.",Norwest Capital Advisors,"WEB_MANAGER: https://nmp.com/news/norwest-capital-closes-on-total-in-excess-of-1-4-billion-across-two-funds | Norwest Capital Advisors is a registered investment adviser to the Norwest Mezzanine Partners funds, including Norwest Mezzanine Partners V LP.","Norwest Capital Advisors, LLC","WEB_MANAGER: https://www.kirkland.com/news/press-release/2023/10/kirkland-advises-norwest-equity-partners-on-separation-from-wells-fargo | Norwest Equity Partners and Norwest Mezzanine Partners now operate as one independent SEC-registered investment adviser, Norwest Capital Advisors, following separation from Wells Fargo.  [AUTO: Norwest Capital Advisors, LLC = Norwest Capital Advisors]"
Nuveen,family,2,Nuveen U.S. Cities Industrial Fund | Nuveen U.S. Cities Multifamily Fund,Nuveen Real Estate,WEB_MANAGER: https://www.businesswire.com/news/home/20200304005538/en/Nuveen-Real-Estate%E2%80%99s-U.S.-Cities-Industrial-Fund | Nuveen Real Estate's U.S. Cities Industrial Fund raised $660 million from institutional investors.,Nuveen Real Estate,"WEB_MANAGER: https://www.nuveen.com/global/investment-capabilities/real-estate/us-cities-multifamily | Nuveen Real Estate, the real estate investment management division of Nuveen LLC, launched the U.S. Cities Multifamily Fund.",Nuveen Real Estate,WEB_MANAGER: https://www.businesswire.com/news/home/20200304005538/en/Nuveen-Real-Estate%E2%80%99s-U.S.-Cities-Industrial-Fund | Nuveen Real Estate's U.S. Cities Industrial Fund raised $660 million from institutional investors.  [AUTO: identical]
O'Connor,family,2,"O'Connor North American Property Partners II L.P. | O'Connor North American Property Partners, L.P.",,,,,O'Connor Capital Partners,WEB_MANAGER: https://oconnorcp.com/who-we-are/ | O'Connor North American Property Partners II is a 2007 vintage real estate fund managed by O'Connor Capital Partners.
Oaktree,family,4,"Oaktree Opportunities Fund IX (Cayman), L.P. | Oaktree Opportunities Fund VIII (Cayman) Ltd. | Oaktree Private Investment Fund 2010, L.P. | Oaktree RE Oppo Fund A, LP","Oaktree Capital Management, L.P.",WEB_MANAGER: https://pitchbook.com/profiles/fund/13441-51F | Oaktree Opportunities Fund IX is a 2014 vintage distressed debt fund managed by Oaktree Capital Management.,"Oaktree Capital Management, L.P.","WEB_MANAGER: https://www.oaktreecapital.com/ | Oaktree Capital Management LP provides investment advisory and general partner services across Credit, Equity, and Real Estate strategies including the Oaktree Opportunities Fund series.","Oaktree Capital Management, L.P.",WEB_MANAGER: https://pitchbook.com/profiles/fund/13441-51F | Oaktree Opportunities Fund IX is a 2014 vintage distressed debt fund managed by Oaktree Capital Management.  [AUTO: identical]
OceanSound,family,2,"OceanSound Partners Fund, LP | OceanSound SMX Rollover AIV, L.P.",OceanSound Partners,WEB_MANAGER: https://oceansoundpartners.com/press-releases/oceansound-partners-closes-3-4-billion-in-connection-with-fund-iii/ | OceanSound Partners closed $3.4 billion in connection with Fund III and serves as sponsor and general partner of its funds.,"OceanSound Partners, LP","WEB_MANAGER: https://oceansoundpartners.com/ | OceanSound Partners, LP is a New York-based private equity firm that serves as sponsor and general partner for its OceanSound Partners Fund vehicles.","OceanSound Partners, LP","WEB_MANAGER: https://oceansoundpartners.com/ | OceanSound Partners, LP is a New York-based private equity firm that serves as sponsor and general partner for its OceanSound Partners Fund vehicles.  [AUTO: OceanSound Partners = OceanSound Partners, LP]"
Oregon Angel Conferences,family,2,Oregon Angel Conferences 2011 | Oregon Angel Conferences 2012,,,,,Oregon Entrepreneurs Network,WEB_MANAGER: https://www.oen.org/about/oen-history/ | Oregon Entrepreneurs Network (OEN) facilitates and organizes the Angel Oregon investment programs as the host organization.
Oregon Angel Fund,family,10,"Oregon Angel Fund 2008, LLC | Oregon Angel Fund 2009, LLC | Oregon Angel Fund 2010, LLC | Oregon Angel Fund 2011, LLC | Oregon Angel Fund 2012, LLC | Oregon Angel Fund 2013, LLC | Oregon Angel Fund 2014, LLC | Oregon Angel Fund 2015, LLC | Oregon Angel Fund 2016, LLC | Oregon Angel Fund 2017, LLC",,,,,Oregon Venture Fund,WEB_MANAGER: https://en.wikipedia.org/wiki/Oregon_Venture_Fund | The fund was originally founded in 2007 as the Oregon Angel Fund and renamed to Oregon Venture Fund in 2018; Oregon Angel Fund 2011 is managed by Oregon Venture Fund.
PAI,family,2,PAI Mid-Market Fund SCSp | PAI Strategic Partnerships SCSp,PAI Partners,WEB_MANAGER: https://www.paipartners.com/about/our-funds-investors/ | PAI Partners manages the PAI Mid-Market Fund and PAI Strategic Partnerships vehicles.,PAI Partners,WEB_MANAGER: https://www.paipartners.com/our-approach/funds-investors/ | PAI Partners manages both the PAI Mid-Market Fund and PAI Strategic Partnerships vehicles.,PAI Partners,WEB_MANAGER: https://www.paipartners.com/about/our-funds-investors/ | PAI Partners manages the PAI Mid-Market Fund and PAI Strategic Partnerships vehicles.  [AUTO: identical]
Phoenix Venture Partners,family,3,"Phoenix Venture Partners II, L.P. | Phoenix Venture Partners III, L.P. | Phoenix Venture Partners, L.P.",,,,,Phoenix Venture Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15166-54F | PitchBook: Phoenix Venture Partners II is a 2017 vintage venture capital fund managed by Phoenix Venture Partners.
Portland Seed Fund,family,4,"Portland Seed Fund I, L.P. | Portland Seed Fund II, L.P. | Portland Seed Fund III - Side Car, L.P. | Portland Seed Fund III, L.P.",,,,,Portland Seed Fund,"WEB_MANAGER: https://www.linkedin.com/in/angelajackson/ | The general partners of Portland Seed Fund include Angela Jackson (Co-Founder, Managing Director, GP), Jim Huston, Jenn Lynch, and Steve Eichenlaub."
Prologis,family,4,"Prologis Global Industrial Ventures | ProLogis North American Industrial Fund, L.P. | Prologis Targeted Europe Logistics Fund, FCP-FIS | Prologis Targeted US Logistics Fund",,,,,Prologis,"WEB_MANAGER: https://ir.prologis.com/press-releases/detail/370/prologis-concludes-prologis-north-american-industrial-fund | ProLogis serves as the general partner of the ProLogis North American Industrial Fund, working in partnership with Lehman Brothers Holdings Inc."
Providence Equity Partners,family,6,Providence Equity Partners (Unity) S.C.SP. | Providence Equity Partners IX-A S.C.Sp. | Providence Equity Partners VI L.P. | Providence Equity Partners VII L.P. | Providence Equity Partners VII-A L.P. | Providence Equity Partners VIII L.P.,Providence Equity Partners L.L.C.,"WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/155678 | Providence Equity Partners L.L.C. is the SEC-registered investment adviser affiliated with the Providence Equity Partners fund family, including Providence Equity Partners VII L.P.",Providence Equity Partners,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1934582/000193458224000002/xslFormDX01/primary_doc.xml | SEC Form D filings show Providence Equity Partners fund entities managed through general partner structures controlled by the firm's managing members, including Jonathan M. Nelson.",Providence Equity Partners L.L.C.,"WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/155678 | Providence Equity Partners L.L.C. is the SEC-registered investment adviser affiliated with the Providence Equity Partners fund family, including Providence Equity Partners VII L.P.  [AUTO: Providence Equity Partners L.L.C. = Providence Equity Partners]"
Prudential Senior Housing,family,2,"Prudential Senior Housing Partners IV, L.P. | Prudential Senior Housing V, L.P.",PGIM Real Estate,WEB_MANAGER: https://pitchbook.com/profiles/fund/13161-34F | Prudential Senior Housing Partners IV is a real estate value added fund managed by PGIM Real Estate.,PGIM Real Estate,"WEB_MANAGER: https://seniorshousingbusiness.com/pgim-real-estate-raises-nearly-1b-for-senior-housing-partners-vi-fund/ | PGIM Real Estate, the real estate investment business of PGIM, manages the Prudential Senior Housing Partners fund series.",PGIM Real Estate,WEB_MANAGER: https://pitchbook.com/profiles/fund/13161-34F | Prudential Senior Housing Partners IV is a real estate value added fund managed by PGIM Real Estate.  [AUTO: identical]
Quantum Energy Partners,family,2,Quantum Energy Partners VIII | Quantum Energy Partners VIII Co-Investment Fund,Quantum Capital Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/18373-69F | Quantum Energy Partners VIII is an oil & gas fund managed by Quantum Capital Group.,Quantum Capital Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/18373-69F | Quantum Energy Partners VIII is an oil & gas fund managed by Quantum Capital Group.,Quantum Capital Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/18373-69F | Quantum Energy Partners VIII is an oil & gas fund managed by Quantum Capital Group.  [AUTO: identical]
RAM Realty Partners,family,3,"RAM Realty Partners III | RAM Realty Partners IV, L.P. | RAM Realty Partners V, L.P.",Ram Realty Advisors,"WEB_MANAGER: https://irei.com/news/ram-realty-partners-v-hits-203-5m/ | Florida-based Ram Realty Advisors has raised a total of $226.25 million, including $22.75 million in co-investment capital, for its Ram Realty Partners V fund.",Ram Realty Advisors LLC,"WEB_MANAGER: https://www.ramrealestate.com/who-we-are | Ram Realty Advisors LLC (""Ram"") is a real estate investment management firm specializing in multifamily, mixed-use, and grocery-anchored retail in select high-growth markets throughout the Southeast.",Ram Realty Advisors LLC,"WEB_MANAGER: https://www.ramrealestate.com/who-we-are | Ram Realty Advisors LLC (""Ram"") is a real estate investment management firm specializing in multifamily, mixed-use, and grocery-anchored retail in select high-growth markets throughout the Southeast.  [AUTO: Ram Realty Advisors = Ram Realty Advisors LLC]"
RAPM,family,2,RAPM NM Secondary Opportunity Fund L.P. | RAPM-NMERB Co-Investment Fund L.P.,Real Asset Portfolio Management,WEB_MANAGER: https://pitchbook.com/profiles/fund/13712-86F | RAPM/NMERB Co-Investment Fund is a real assets fund managed by Real Asset Portfolio Management.,Real Asset Portfolio Management,"WEB_MANAGER: https://www.hamiltonlane.com/en-us/news/real-assets-manager-acquisition | Real Asset Portfolio Management provided global real estate, natural resources, and infrastructure portfolio management and consulting services to institutional investors.",Real Asset Portfolio Management,WEB_MANAGER: https://pitchbook.com/profiles/fund/13712-86F | RAPM/NMERB Co-Investment Fund is a real assets fund managed by Real Asset Portfolio Management.  [AUTO: identical]
RCG Longview,family,3,"RCG Longview Debt Fund IV, L.P. | RCG Longview Debt Fund V, L.P. | RCG Longview Equity Fund, L.P.",,,,,Olshan Properties,WEB_MANAGER: https://olshanproperties.com/partner/rcg-longview/ | Olshan Properties is a Managing Member and General Partner of all of RCG Longview's funds.
RREEF America,family,2,"RREEF America Fund II | RREEF America REIT II, Inc.",,,,,RREEF America L.L.C.,WEB_MANAGER: https://www.bloomberg.com/profile/company/0800512D:US | RREEF America II GP LLC is the general partner of RREEF America REIT II; RREEF America L.L.C. serves as the investment manager of the issuer.
Raith,family,3,"Raith NMERB Core Plus Real Estate Credit SMA | Raith Real Estate Fund I-A, L.P. | Raith Real Estate Fund II, L.P.","Raith Capital Partners, LLC","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-77757/RAITH-CAPITAL-PARTNERS--LLC | Raith Capital Partners provides investment advisory services to Raith Real Estate Fund II, LP, which invests in real estate or debt-related instruments.",Raith Capital Partners,WEB_MANAGER: https://www.raithcapital.com/about-us | Raith Capital Partners is a commercial real estate firm that targets optimal risk-adjusted returns in its investments across its equity and credit platforms.,"Raith Capital Partners, LLC","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-77757/RAITH-CAPITAL-PARTNERS--LLC | Raith Capital Partners provides investment advisory services to Raith Real Estate Fund II, LP, which invests in real estate or debt-related instruments.  [AUTO: Raith Capital Partners, LLC = Raith Capital Partners]"
Realterm,family,4,"Realterm European Logistics Fund, L.P. | Realterm Logistics Fund II, L.P. | Realterm Logistics Fund III, L.P. | Realterm Logistics Fund, L.P.",Realterm,WEB_MANAGER: https://www.realterm.com/news/realterm-closes-realterm-logistics-fund-iii-at-hard-cap-of-370-million/ | Realterm is pleased to announce the final close of Realterm Logistics Fund III (RLF III) at its hard cap of $370 million.,Realterm,WEB_MANAGER: https://www.realterm.com/investment-opportunities/ | Realterm is an independent global investment manager with a focus on the transportation industry.,Realterm,WEB_MANAGER: https://www.realterm.com/news/realterm-closes-realterm-logistics-fund-iii-at-hard-cap-of-370-million/ | Realterm is pleased to announce the final close of Realterm Logistics Fund III (RLF III) at its hard cap of $370 million.  [AUTO: identical]
RiverVest Venture Fund,family,2,"RiverVest Venture Fund II (Ohio), L.P. | RiverVest Venture Fund III (Ohio), L.P.",,,,,RiverVest Venture Partners,"WEB_MANAGER: https://rivervest.com/about/ | RiverVest Venture Partners has headquarters in St. Louis and offices in San Diego and Cleveland, serving as general partner managing its venture funds."
Riverlake Equity Partners,family,2,"Riverlake Equity Partners I, L.P. | Riverlake Equity Partners II, L.P.",,,,,Riverlake Partners,"WEB_MANAGER: https://www.riverlakepartners.com/ | Riverlake Partners is a private equity general partner firm headquartered in Portland, OR, founded in 2003."
Roark Capital Partners,family,9,Roark Capital Partners CF LP | Roark Capital Partners CF RI LP | Roark Capital Partners II LP | Roark Capital Partners II Sidecar LP | Roark Capital Partners III LP | Roark Capital Partners IV LP | Roark Capital Partners V (T) LP | Roark Capital Partners V (TE) LP | Roark Capital Partners VI (TE) LP,"Roark Capital Management, LLC","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-73653/ROARK-CAPITAL-MANAGEMENT-LLC | Roark Capital Management, LLC serves as investment manager and general partner or managing member of Roark's private equity funds and co-investment vehicles.",Roark Capital Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/14655-34F | Roark Capital Partners IV is a buyout fund managed by Roark Capital Group.,"Roark Capital Management, LLC","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-73653/ROARK-CAPITAL-MANAGEMENT-LLC | Roark Capital Management, LLC serves as investment manager and general partner or managing member of Roark's private equity funds and co-investment vehicles."
Rockpoint,family,8,"Rockpoint Finance Fund I, LP | Rockpoint Growth and Income Fund I, L.P. | Rockpoint RE Special Fund, L.P. | Rockpoint Real Estate Fund I, L.P. | Rockpoint Real Estate Fund II, L.P. | Rockpoint Real Estate Fund III, L.P. | Rockpoint Real Estate Fund IV, L.P. | Rockpoint Real Estate Fund V, L.P.","Rockpoint Group, L.L.C.","WEB_MANAGER: https://jsg.legis.state.pa.us/resources/documents/ftp/act5/pdf/Appendix%202/SERS%20Data%20Request%20Responses/SERS-004%20Complete/SERS%20004-5%20Rockpoint%20Fund%20V%20-%20Subscription%20Agreement%20-%20Final_Redacted.pdf | Rockpoint Real Estate Fund V, L.P.'s general partner is a Delaware LLC whose notices are delivered c/o Rockpoint Group at its Dallas offices.",Rockpoint Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/12879-82F | Rockpoint Real Estate Fund III is a 2007 vintage real estate opportunistic fund managed by Rockpoint Group.,"Rockpoint Group, L.L.C.","WEB_MANAGER: https://jsg.legis.state.pa.us/resources/documents/ftp/act5/pdf/Appendix%202/SERS%20Data%20Request%20Responses/SERS-004%20Complete/SERS%20004-5%20Rockpoint%20Fund%20V%20-%20Subscription%20Agreement%20-%20Final_Redacted.pdf | Rockpoint Real Estate Fund V, L.P.'s general partner is a Delaware LLC whose notices are delivered c/o Rockpoint Group at its Dallas offices.  [AUTO: Rockpoint Group, L.L.C. = Rockpoint Group]"
Rockwood Capital,family,2,Rockwood Capital RE Partners VII | Rockwood Capital RE Partners VIII,"Rockwood Capital, LLC","WEB_MANAGER: https://pitchbook.com/profiles/fund/12064-78F | Rockwood Capital Real Estate Partners VII is managed by Rockwood Capital, a real estate investment management firm founded in 1995.",Rockwood Capital,WEB_MANAGER: https://pitchbook.com/profiles/fund/12084-22F | Rockwood Capital Real Estate Partners VIII is a real estate value added fund managed by Rockwood Capital.,"Rockwood Capital, LLC","WEB_MANAGER: https://pitchbook.com/profiles/fund/12064-78F | Rockwood Capital Real Estate Partners VII is managed by Rockwood Capital, a real estate investment management firm founded in 1995.  [AUTO: Rockwood Capital, LLC = Rockwood Capital]"
SCF,family,3,SCF-IX LP | SCF-VII LP | SCF-VIII LP,"SCF Partners, Inc.",WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-49261/SCF-PARTNERS--INC- | SCF serves as the ultimate general partner of its numbered private investment funds focused on the worldwide energy services and equipment industry.,SCF Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/16308-46F | SCF-IX is a buyout fund managed by SCF Partners.,"SCF Partners, Inc.","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-49261/SCF-PARTNERS--INC- | SCF serves as the ultimate general partner of its numbered private investment funds focused on the worldwide energy services and equipment industry.  [AUTO: SCF Partners, Inc. = SCF Partners]"
SV Life Sciences,family,2,"SV Life Sciences Fund IV, L.P. | SV Life Sciences IV CF",,,,,SV Health Investors,"WEB_MANAGER: https://pitchbook.com/profiles/fund/11651-32F | SV Life Sciences Fund IV is an early-stage venture capital fund managed by SV Health Investors, located in Boston, Massachusetts."
Sacramento Venture Hines,family,2,Sacramento Venture Hines Base | Sacramento Venture Hines DT,Hines,WEB_MANAGER: https://www.calpers.ca.gov/page/newsroom/calpers-news/2019/new-manager-sacramento-venture-real-estate-partnerships | CalPERS engaged Hines to be the new manager of the Sacramento Venture real estate partnerships.,Hines,WEB_MANAGER: https://www.calpers.ca.gov/newsroom/calpers-news/2019/new-manager-sacramento-venture-real-estate-partnerships | CalPERS engaged Hines as its new manager of the Sacramento Venture real estate partnerships.,Hines,WEB_MANAGER: https://www.calpers.ca.gov/page/newsroom/calpers-news/2019/new-manager-sacramento-venture-real-estate-partnerships | CalPERS engaged Hines to be the new manager of the Sacramento Venture real estate partnerships.  [AUTO: identical]
Samson,family,5,"Samson Brunello 1, L.P. | Samson Brunello 2, L.P. | Samson Hockey 2, L.P. | Samson Shield 1, L.P. | Samson Shield 2, L.P.",Hellman & Friedman,"WEB_MANAGER: https://pitchbook.com/profiles/fund/18230-50F | Samson Shield Fund is a buyout fund managed by Hellman & Friedman, as are the Samson Brunello and Samson Hockey funds.",Hellman & Friedman,WEB_MANAGER: https://pitchbook.com/profiles/fund/18442-00F | Samson Brunello is a buyout fund managed by Hellman & Friedman.,Hellman & Friedman,"WEB_MANAGER: https://pitchbook.com/profiles/fund/18230-50F | Samson Shield Fund is a buyout fund managed by Hellman & Friedman, as are the Samson Brunello and Samson Hockey funds.  [AUTO: identical]"
Sares-Regis,family,3,"Sares-Regis Multifamily Fund, L.P. | Sares-Regis Multifamily Value-Add Fund II, L.P. | Sares-Regis Multifamily Value-Add Fund III, L.P.","Sares Regis Multifamily Investment Management, LLC","WEB_MANAGER: https://www.bpcmag.com/case-studies/sean-finnegan-sares-regis-multifamily-value-add-fund/ | Sares Regis Multifamily Investment Management, LLC (SRMIM), formed in 2013, manages a series of commingled private equity real estate funds targeting underperforming multifamily properties in the Western U.S.",Sares Regis Group,WEB_MANAGER: https://www.sares-regis.com/post/sares-regis-seals-multifamily-fund-at-328-million | Sares Regis Group closed out fundraising for its Sares Regis Multifamily Value-Add Fund III at $328 million in total equity commitments.,"Sares Regis Multifamily Investment Management, LLC","WEB_MANAGER: https://www.bpcmag.com/case-studies/sean-finnegan-sares-regis-multifamily-value-add-fund/ | Sares Regis Multifamily Investment Management, LLC (SRMIM), formed in 2013, manages a series of commingled private equity real estate funds targeting underperforming multifamily properties in the Western U.S."
Sculptor,family,3,Sculptor Diversified RE Income Trust | Sculptor Real Estate Fund IV | Sculptor Real Estate Fund V,"Sculptor Capital Management, Inc.","WEB_MANAGER: https://www.sculptor.com/news/2025-12-03-sculptor-raises-46-billion-for-fifth-opportunistic-equity-real-estate-fund | Sculptor Capital Management, Inc. announced the final close of Sculptor Real Estate Fund V with $4.6 billion in commitments.",Sculptor Capital Management,"WEB_MANAGER: https://static.sculptor.com/docs/Real%20Estate%20Fund%20IV%20Press%20Release.pdf | Sculptor Capital Management held the final close of its fourth opportunistic real estate fund, Sculptor Real Estate Fund IV LP, with total capital commitments of $2.6 billion.","Sculptor Capital Management, Inc.","WEB_MANAGER: https://www.sculptor.com/news/2025-12-03-sculptor-raises-46-billion-for-fifth-opportunistic-equity-real-estate-fund | Sculptor Capital Management, Inc. announced the final close of Sculptor Real Estate Fund V with $4.6 billion in commitments.  [AUTO: Sculptor Capital Management, Inc. = Sculptor Capital Management]"
